date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2016-06-24,BOS @ TEX,T2,Farrell,Brentz,Out at 1st,Force Play,De Jesus,Cederstrom,Confirmed,1:44,https://t.co/qJcOf13N3j,
2016-06-24,NYM @ ATL,B5,Snitker,Inciarte,Out at 1st,Force Play,Blakney,Everitt,Overturned,1:42,https://t.co/CFkzJ7rtPW,
2016-06-24,OAK @ LAA,T1,UMPIRE,Vogt,HR/No Fan Interference,Potential HR,Wolcott,Carlson,Stands,0:57,http://atmlb.com/29i1rEn,
2016-06-24,NYM @ ATL,B9,Snitker,Peterson,Out at 1st,Force Play,Blakney,Everitt,Confirmed,1:14,https://t.co/VFX99cEtYm,
2016-06-24,TOR @ CWS,T9,Ventura,Barney,Safe at 3rd,Tag Play,T. Barrett,T. Barrett,Stands,3:13,https://t.co/jBDUgfDlCI,
2016-06-24,STL @ SEA,T8,Matheny,Diaz,Out at HP; no violation,Collisions at HP,Holbrook,Davis,Confirmed,1:16,https://t.co/mpefwvZDbI,
2016-06-24,OAK @ LAA,T8,Melvin,Semien,Out at 1st,Tag Play,Wolcott,Carlson,Stands,2:02,https://t.co/iVxkt58Dog,
2016-06-24,PHI @ SF,T9,Mackanin,Goeddel,Out at 1st,Force Play,Blaser,Nelson,Confirmed,0:46,https://t.co/1xLyrQajRy,
2016-06-25,MIN @ NYY,B8,Girardi,McCann,Out at home,Tag Play,Marquez,Vanover,Confirmed,1:09,https://t.co/NRqEOMHSEj,
2016-06-25,TOR @ CWS,B6,Gibbons,Frazier,Safe at 1st,Force Play,Barksdale,T. Barrett,Confirmed,2:11,https://t.co/aFx9sw5B82,
2016-06-25,CHI @ MIA,T1,Mattingly,Bryant,Safe at 3rd,Tag Play,Reyburn,Hirschbeck,Stands,4:03,https://t.co/Zo63kd8RpO,
2016-06-25,CLE @ DET,T2,Francona,R. Davis,Out at 1st,Tag Play,Reynolds,Culbreth,Confirmed,0:45,https://t.co/yMGA1oVVij,
2016-06-25,TOR @ CWS,T8,UMPIRE,Thole,Ball; No HBP,HBP,Hernandez,T. Barrett,Stands,0:59,https://t.co/ZnymXDaOVa,
2016-06-25,TOR @ CWS,T8,UMPIRE,Thole,Count Check,Record Keeping,Hernandez,T. Barrett,Record Keeping,0:58,https://t.co/ZnymXDaOVa,
