date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2015-09-1,MIA @ ATL,T3,Gonzalez,Gillespie,Safe at 1st,Tag Play,Drake,West,Stands,1:23,http://t.co/n4wfy1C7zr
2015-09-1,CWS @ MIN,T2,Molitor,Me. Cabrera,Safe at 1st,Force Play,L. Barrett,Scott,Overturned,1:13,http://t.co/UfNtp5H64X
2015-09-1,CLE @ TOR,T8,Gibbons,Lindor,Safe at 2nd,Tag Play,Fagan,Meals,Confirmed,1:45,http://t.co/8OizREeqrA
2015-09-1,NYY @ BOS,B8,Lovullo,Betts,Out at 3rd,Tag Play,Carapazza,Vanover,Confirmed,1:37,http://t.co/6CfPaHsaW8
2015-09-1,LAA @ OAK,B2,UMPIRE,Smolinski,Foul ball,Potential HR,Joyce,Joyce,Confirmed,1:05,http://t.co/hNFXP1jrnL
2015-09-1,CWS @ MIN,T9,Ventura,Eaton,Foul ball (no HBP),Hit By Pitch,Bucknor,Scott,Stands,1:28,http://t.co/ZwM4aAx22D
2015-09-1,WSH @ STL,T9,Matheny,Zimmerman,Safe at 1st,Force Play,Tumpane,Hirschbeck,Overturned,0:55,http://t.co/rGHiG2LPAP
2015-09-1,SF @ LAD,T7,Bochy,Byrd,Out at 1st,Force Play,Muchlinski,Winters,Stands,2:23,http://t.co/0BcWcghEc6
2015-09-1,TEX @ SD,T7,Banister,Choo,Out at 1st,Force Play,T. Gibson,Carlson,Confirmed,1:15,http://t.co/FRKmaepcfO
2015-09-2,MIA @ ATL,B3,Gonzalez,Maybin,Out at 2nd,Tag Play,Reyburn,West,Overturned,1:22,http://t.co/NciePvpxJ5
2015-09-2,CLE @ TOR,B1,Francona,Smoak,Safe at 1st,Force Play,Fagan,Meals,Stands,2:21,http://t.co/g01NYtcklc
2015-09-2,TB @ BAL,T3,UMPIRE,Arencibia,Home Run,Potential HR,Guccione,Nelson,Stands,3:54,http://t.co/TFLseo584W
2015-09-2,PHI @ NYM,B3,Collins,K. Johnson,Out at 1st,Force Play,Davis,Davis,Overturned,1:39,http://t.co/19qhQkOfdT
2015-09-2,ARI @ COL,T2,Weiss,C. Anderson,Safe at 1st,Force Play,Segal,Everitt,Overturned,1:28,http://t.co/yVeYKBaBBO
2015-09-2,SF @ LAD,T2,Mattingly,Posey,Safe at 1st,Tag Play,Wegner,Winters,Overturned,2:06,http://t.co/bNTOe44CHS
2015-09-2,SEA @ HOU,T7,Hinch,K. Seager,Safe at 3rd,Tag Play,Conroy,T. Barrett,Stands,2:56,http://t.co/YS7gFHZIET
2015-09-2,ARI @ COL,T6,Weiss,Lamb,Safe at 2nd,Tag Play,Timmons,Everitt,Stands,2:29,http://t.co/G156AGubyq
2015-09-2,SF @ LAD,T6,Bochy,Tomlinson,Out at 1st,Tag Play,Wegner,Winters,Overturned,1:41,http://atmlb.com/1imDjDG
2015-09-2,TEX @ SD,T10,Murphy,Stubbs,Safe at 1st,Force Play,Morales,Carlson,Overturned,1:06,http://t.co/9awYinKKZG
2015-09-3,PIT @ MIL,B6,UMPIRE,E. Herrera,Home Run,Potential HR,Randazzo,Miller,Overturned,2:25,http://t.co/GWgxDfoK7E
2015-09-3,DET @ KC,T6,Ausmus,J.D. Martinez,Out at 1st,Force Play,Cooper,Cederstrom,Stands,1:55,http://t.co/0bK64NxvtX
2015-09-3,LAD @ SD,B6,Mattingly,J. Upton,Safe at 2nd,Force Play,Conroy,T. Barrett,Confirmed,1:52,http://t.co/NeYA8oyoq2
2015-09-4,ARI @ CHI,T8,Hale,Tomas,Out at 1st,Force Play,B. Welke,Hirschbeck,Confirmed,1:23,http://t.co/hxzknkTtYC
2015-09-4,MIN @ HOU,T1,Molitor,Mauer,Out at home,Collisions at HP,Reynolds,Culbreth,Confirmed,0:59,http://t.co/2ANAYkfFlY
2015-09-4,SF @ COL,B1,UMPIRE,C. Gonzalez,Foul ball,Potential HR,Danley,Joyce,Stands,1:21,http://t.co/YORnWqGec1
2015-09-4,SF @ COL,T4,Bochy,Pagan,Out at 1st,Tag-Ups,Danley,Joyce,Confirmed,1:00,http://t.co/efGdIu9bX7
2015-09-4,LAD @ SD,B3,UMPIRE,Gyorko,In play (double),Potential HR,T. Barrett,T. Barrett,Overturned,1:47,http://t.co/3pGGsJdRu0
2015-09-4,SF @ COL,T9,Weiss,Byrd,Safe at 1st,Force Play,Danley,Joyce,Confirmed,0:36,http://t.co/EUCY4pm7zW
2015-09-4,TEX @ LAA,T6,Scioscia,Fielder,Run Scores,Timing Play,Wegner,Winters,Stands,3:39,http://atmlb.com/1QmWY1B
2015-09-4,SEA @ OAK,B6,McClendon,B. Burns,Safe at 2nd,Tag Play,Carlson,Carlson,Overturned,2:17,http://atmlb.com/1UFfPpk
2015-09-5,TB @ NYY,T8,Cash,Kiermaier,Out at 1st,Force Play,May,West,Overturned,1:25,http://atmlb.com/1g893KY
2015-09-5,ARI @ CHI,T7,Maddon,Lamb,Safe at 1st,Force Play,Hirschbeck,Hirschbeck,Overturned,1:08,http://t.co/PzGcsdjHN3
2015-09-5,PIT @ STL,T7,Matheny,S. Rodriguez,Safe at 3rd,Tag Play,Cooper,Cederstrom,Confirmed,1:35,http://atmlb.com/1QmX1dP
2015-09-5,SF @ COL,T1,Bochy,C. Gonzalez,Catch,Catch/no catch,Fairchild,Joyce,Stands,3:00,http://t.co/V5kR9kaE0z
2015-09-5,SF @ COL,T1,Bochy,Pagan,Out at 2nd,Tag-Ups,Hoberg,Joyce,Confirmed,3:02,http://t.co/V5kR9kaE0z
2015-09-5,SEA @ OAK,T2,McClendon,O'Malley,Out at 3rd,Tag Play,Morales,Carlson,Stands,1:31,http://t.co/qKSSbNTFNN
2015-09-5,LAD @ SD,B4,Murphy,J. Upton,Out at 2nd,Force Play,Hamari,T. Barrett,Confirmed,2:03,http://t.co/FUWP51gdFd
2015-09-5,LAD @ SD,B6,Mattingly,Kemp,Safe at 1st,Tag Play,T. Barrett,T. Barrett,Overturned,1:49,http://t.co/8toSoubWsb
2015-09-6,MIL @ CIN,B1,Counsell,Bruce,Safe at 1st,Force Play,Basner,Davis,Stands,3:00,http://t.co/6pUZglU1gZ
2015-09-6,CLE @ DET,T6,Francona,Kipnis,Out at 1st,Force Play,Eddings,Wendelstedt,Overturned,1:30,http://t.co/jb9mxuYcnL
2015-09-6,TEX @ LAA,B1,UMPIRE,Trout,Home Run,Potential HR,Muchlinski,Winters,Confirmed,0:31,http://t.co/LKhsJY0G4G
2015-09-6,CWS @ KC,B6,Ventura,A. Gordon,Safe at 1st,Force Play,Vanover,Vanover,Overturned,1:31,http://t.co/PMnaUqJTuu
2015-09-6,SF @ COL,B4,Weiss,Rosario,Out at 1st,Force Play,Hoberg,Joyce,Confirmed,0:38,http://t.co/Cs3yNhomOP
2015-09-6,LAD @ SD,T7,Mattingly,A. Gonzalez,Ball (no HBP),Hit By Pitch,T. Barrett,T. Barrett,Stands,2:50,http://t.co/JI0bONSvuY
2015-09-6,LAD @ SD,T7,Murphy,Rollins,Safe at 3rd,Tag Play,Conroy,T. Barrett,Stands,1:35,http://atmlb.com/1XIienq
2015-09-7,NYM @ WSH,T4,UMPIRE,Cespedes,Home Run,Potential HR,Hickox,DeMuth,Confirmed,0:47,http://t.co/c5FEVw8EyN
2015-09-7,TOR @ BOS,B4,UMPIRE,R. Castillo,Foul Ball,Potential HR,Reynolds,Culbreth,Stands,3:01,http://t.co/IEamg5FC31
2015-09-7,CHI @ STL,B4,Matheny,Heyward,Foul Ball,Fair/Foul,Knight,Vanover,Overturned,3:27,http://t.co/fRwbdN8lo1
2015-09-7,PIT @ CIN,T9,Hurdle,S. Rodriguez,Out at 1st,Tag Play,Hoye,B. Welke,Confirmed,1:04,http://t.co/ZsQPCpgjMh
2015-09-7,TB @ DET,T9,Cash,Longoria,Out at 2nd,Force Play,Timmons,Timmons,Confirmed,0:49,http://t.co/1O9ETWDhxJ
2015-09-7,TEX @ SEA,T7,Banister,DeShields,Out at 3rd,Tag Play,Dreckman,Hallion,Stands,3:29,http://t.co/cF6mToCXHU
2015-09-7,LAD @ LAA,B5,UMPIRE,Calhoun,Home Run,Potential HR,Morales,Carlson,Confirmed,1:05,http://t.co/Bo4SZXWA5u
2015-09-8,TOR @ BOS,T3,UMPIRE,Donaldson,Foul Ball,Potential HR,Gonzalez,Culbreth,Confirmed,1:33,http://t.co/1I3wqHdJvq
2015-09-8,BAL @ NYY,T6,Girardi,C. Davis,Safe at 1st,Force Play,Emmel,Meals,Overturned,1:05,http://t.co/FyndML6TzA
2015-09-8,SF @ ARI,T1,UMPIRE,Panik,Count Check,Record Keeping,Hernandez,T. Barrett,Record Keeping,1:30,http://t.co/wkvlmSxNi8
2015-09-8,TB @ DET,T8,Cash,R. Davis,Catch,Catch/no catch,Tichenor,T. Welke,Stands,1:37,http://t.co/0Ox7xAK9Od
2015-09-8,BAL @ NYY,T9,Showalter,Paredes,Out at 3rd,Tag Play,Fagan,Meals,Confirmed,1:48,http://t.co/UDuzAfv8Hc
2015-09-8,TOR @ BOS,B9,Lovullo,Shaw,Out at 1st,Force Play,Schrieber,Culbreth,Confirmed,1:02,http://t.co/dy0xwrmE37
2015-09-8,TOR @ BOS,T10,UMPIRE,Donaldson,In play (triple),Potential HR,Gonzalez,Culbreth,Confirmed,1:51,http://t.co/uG8w2Wufav
2015-09-8,TOR @ BOS,T10,UMPIRE,Donaldson,Safe at 3rd,Tag Play,Reynolds,Culbreth,Confirmed,2:33,http://t.co/2cvxgP39Cf
2015-09-8,TB @ DET,T9,Ausmus,N. Franklin,Safe at 3rd,Tag Play,T. Welke,T. Welke,Stands,3:00,http://t.co/wHXeABA2KS
2015-09-8,MIL @ MIA,B8,Counsell,D. Solano,Safe at 1st,Force Play,Davidson,Wendelstedt,Stands,3:05,http://t.co/xtRmkTtfSI
2015-09-8,MIN @ KC,T9,Molitor,Mauer,Out at 1st,Force Play,G. Gibson,G. Gibson,Confirmed,1:15,http://t.co/JAXM3S7EhV
2015-09-8,CLE @ CWS,B6,Francona,C. Sanchez,Safe at 2nd,Tag Play,Wolcott,Cooper,Overturned,1:22,http://t.co/Ui8lJRt0o2
2015-09-8,TB @ DET,B11,UMPIRE,R. Davis,Out at 1st,Force Play,Timmons,T. Welke,Overturned,0:45,http://t.co/9vO74w6cTQ
2015-09-8,TB @ DET,B11,UMPIRE,R. Davis,Safe at 1st,Tag Play,Timmons,T. Welke,Stands,2:23,http://t.co/j6acoLksVX
2015-09-8,LAD @ LAA,B9,Scioscia,DeJesus,Out at 1st,Force Play,Holbrook,Carlson,Confirmed,1:04,http://t.co/u7X8SDwBQw
2015-09-9,CHI @ STL,B1,Maddon,Heyward,Safe at 2nd,Tag Play,Vanover,Vanover,Confirmed,1:33,http://t.co/SHRuZgWQ65
2015-09-9,MIL @ MIA,T3,Counsell,Braun,Out at 1st,Force Play,Wendelstedt,Wendelstedt,Overturned,0:52,http://t.co/TTpOccqjwu
2015-09-9,TOR @ BOS,B3,UMPIRE,Betts,In play (double),Potential HR,Gonzalez,Culbreth,Overturned,0:53,http://t.co/gq1hWomGei
2015-09-9,MIL @ MIA,B4,Jennings,Dietrich,Out at home,Collisions at HP,Davidson,Wendelstedt,Confirmed,0:42,http://t.co/ct3HIFuge2
2015-09-9,TEX @ SEA,T5,McClendon,Chirinos,Hit By Pitch,Hit By Pitch,Bellino,Hallion,Stands,3:03,http://t.co/cdQ0sxmk6M
2015-09-9,LAD @ LAA,T5,Scioscia,C. Seager,Safe at 1st,Tag Play,Carlson,Carlson,Overturned,3:01,http://t.co/kBWCraf6t4
2015-09-9,MIN @ KC,B10,Yost,Dyson,Out at home,Collisions at HP,G. Gibson,G. Gibson,Confirmed,1:12,http://atmlb.com/1M2KF9a
2015-09-9,COL @ SD,B6,Weiss,Kemp,Safe at 1st,Force Play,Winters,Winters,Stands,2:23,http://t.co/2x04mVg1TB
2015-09-10,TEX @ SEA,T5,Banister,Andrus,Out at 2nd,Tag Play,Hallion,Hallion,Confirmed,2:19,http://t.co/skapNElatq
2015-09-10,DET @ CLE,T2,Francona,Romine,Safe at home,Tag Play,Hickox,DeMuth,Overturned,2:46,http://t.co/5t2ZrBc7u1
