date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2017-05-9,DET @ ARI,B3,Ausmus,P. Goldschmidt,Safe at home,Tag Play,Miller,Miller,Stands,1:13,https://t.co/6hT7HW822O,
2017-05-9,KC @ TB,T12,Cash,L. Cain,Safe at 2nd,Tag Play,Everitt,Everitt,Confirmed,1:16,http://atmlb.com/2rAjflO,
2017-05-9,PIT @ LAD,B9,Hurdle,J. Pederson,Safe at 1st,Force Play,Fagan,Davis,Overturned,1:01,https://t.co/OU4m9mw4OL,
2017-05-10,SD @ TEX,T2,Green,D. DeShields,Catch,Catch/No Catch,Kellogg,Kellogg,Overturned,0:59,https://t.co/HQH7p9wmmI,
2017-05-10,SD @ TEX,T7,Green,C. Spangenberg,Out at 1st,Force Play,Little,Kellogg,Overturned,0:43,https://t.co/ylo4xDgyf4,
2017-05-10,SD @ TEX,B7,Green,S. Choo,No violation,Slide Rule,Kellogg,Kellogg,Stands,1:47,https://t.co/p8mQXBcdnB,
2017-05-11,BOS @ MIL,T7,Counsell,C. Young,Hit by Pitch,HBP,May,Culbreth,Overturned,0:59,https://t.co/h2qao6EjOo,
2017-05-11,MIN @ CWS,T2,Renteria,B. Buxton,Safe at 1st,Force Play,Basner,Layne,Overturned,0:54,https://t.co/zbBP8HwKCq,
2017-05-11,SD @ TEX,B8,Green,C. Gomez,Safe at 2nd,Tag Play,Timmons,Kellogg,Stands,1:39,https://t.co/fZPhKbP7RT,
2017-05-11,PIT @ ARI,T3,Lovullo,J. Mercer,Safe at 2nd,Tag Play,Conroy,Meals,Overturned,0:57,https://t.co/orgVvg5jcO,
2017-05-11,PIT @ ARI,T9,Hurdle,J. Harrison,Out at 2nd,Tag Play,Conroy,Meals,Stands,2:33,https://t.co/kxa9mVLejm,
2017-05-12,TB @ BOS,B3,Farrell,M. Betts,Out at 1st,Force Play,Nelson,Nelson,Stands,1:41,https://t.co/LDSF23odwA,
2017-05-12,OAK @ TEX,T1,Banister,R. Davis,Safe at 2nd,Tag Play,Reynolds,Reynolds,Overturned,1:09,https://t.co/ZClAtR50sH,
2017-05-12,SD @ CWS,T4,Green,A. Cordoba,Out at 1st,Force Play,Vanover,Vanover,Overturned,0:44,https://t.co/Il7ail7ALV,
2017-05-12,LAD @ COL,B4,Roberts,P. Valaika,Safe at 2nd,Tag Play,Danley,Miller,Overturned,0:52,https://t.co/1DUMrRzjKt,
2017-05-12,DET @ LAA,B2,Scioscia,C. Pennington,Out at 1st,Force Play,Muchlinski,Winters,Overturned,0:46,https://t.co/HITuZqrgAp,
2017-05-13,TB @ BOS,T8,Cash,C. Dickerson,Out at 1st,Force Play,Diaz,Nelson,Overturned,1:00,https://t.co/0SLznvouhT,
2017-05-13,SEA @ TOR,T8,Servais,G. Heredia,Out at 2nd,Tag Play,Tumpane,T. Barrett,Stands,1:18,https://t.co/r0Zy57EgHz,
2017-05-13,MIN @ CLE,T3,Francona,B. Dozier,Safe at 2nd,Tag Play,Culbreth,Culbreth,Overturned,0:47,https://t.co/k8Ep5hwNf8,
2017-05-13,MIN @ CLE,B3,UMPIRE,C. Santana,In play; Triple,Potential HR,Culbreth,Culbreth,Confirmed,0:34,https://t.co/i3tXQTkigl,
2017-05-13,CHI @ STL,T5,Maddon,I. Happ,Violation,Slide Rule,Everitt,Everitt,Confirmed,1:28,https://t.co/Ep6BxChCkY,
2017-05-13,CIN @ SF,B8,Bochy,J. Panik,Out at 2nd,Tag Play,Drake,Davis,Overturned,1:55,https://t.co/RE7s62VgoM,
2017-05-13,SD @ CWS,B4,Green,J. Abreu,Safe at 1st,Force Play,Marquez,Vanover,Confirmed,2:18,https://t.co/SxYfxJU2vC,
2017-05-13,DET @ LAA,T1,Scioscia,I. Kinsler,Safe at 2nd,Tag Play,Winters,Winters,Overturned,0:54,https://t.co/gISbLWuMbl,
