date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2014-07-4,MIA @ STL,T9,Matheny,R. Johnson,Runners on 2nd and 3rd,Runner pass?,T. Welke,T. Welke,Confirmed,2:04,http://t.co/AfzVTIMCTJ
2014-07-5,MIA @ STL,T4,UMPIRE,Ozuna,7.13/Out at home,7.13,Fagan,T. Welke,Stands,2:08,http://t.co/sPNBLIYWVp
2014-07-5,ARI @ ATL,T1,Gibson,A. Hill,Out at 1st,Force play,Basner,Nelson,Overturned,0:45,http://t.co/h3iubNZUxA
2014-07-5,SEA @ CWS,B8,Ventura,M. Sierra,Out at 3rd,Tag play,DeMuth,DeMuth,Overturned,1:00,http://t.co/YegDFwZuGl
2014-07-5,PHI @ PIT,T4,UMPIRE,Asche,Home Run,Potential HR,Iassogna,Scott,Confirmed,2:03,http://t.co/lZN9JjhNeV
2014-07-5,PHI @ PIT,T5,Sandberg,Rollins,Out at 1st,Force play,Scott,Scott,Stands,1:47,http://t.co/HeLWJBi6ie
2014-07-5,BAL @ BOS,T2,Showalter,Hardy,Out at 2nd,Tag play,Layne,Layne,Overturned,3:50,http://t.co/zLh8aUmytL
2014-07-5,SF @ SD,T10,Black,Posey,Safe at 2nd,Tag play,B. Welke,Davidson,Stands,1:30,http://t.co/B0o3GOpHcI
2014-07-5,TOR @ OAK,T8,Gibbons,Me. Cabrera,Out at home,Tag play,Miller,Miller,Stands,2:42,http://t.co/WA7Xrr7ouq
2014-07-6,MIL @ CIN,B2,UMPIRE,R. Santiago,In play (inside-the-park HR),Fan Interference,Meals,Meals,Overturned,3:34,http://t.co/AngkZOZNGe
2014-07-6,CHI @ WSH,T3,Williams,R. Sweeney,Safe at 1st,Force play,Schrieber,T. Barrett,Overturned,1:05,http://t.co/hwPpwzhAM5
2014-07-6,BAL @ BOS,T4,Showalter,N. Cruz,Out at 2nd,Tag play,Wendelstedt,Layne,Overturned,0:52,http://t.co/cIV6ihLbaM
2014-07-6,PHI @ PIT,B8,UMPIRE,McCutchen,In play (triple),Fan Interference,Iassogna,Scott,Overturned,1:52,http://t.co/wrREJV73UC
2014-07-6,CHI @ WSH,B8,Renteria,Span,Safe at 2nd,Tag play,T. Barrett,T. Barrett,Stands,1:33,http://t.co/AEiIoZFvkR
2014-07-6,BAL @ BOS,B9,Farrell,Pedroia,Out at 2nd,Tag play,Wendelstedt,Layne,Confirmed,1:15,http://t.co/iC6U7HQzzY
2014-07-6,LAD @ COL,T5,Mattingly,A. Gonzalez,Out at home,Tag play,Kellogg,Kellogg,Overturned,1:28,http://t.co/us1MOZbCWu
2014-07-6,SF @ SD,T7,Bochy,Conrad,Out at 2nd,Force play,Davidson,Davidson,Stands,2:51,http://t.co/zuolhFjQtZ
2014-07-6,TB @ DET,T1,UMPIRE,Joyce,In play (triple),Potential HR,Cuzzi,G. Gibson,Overturned,0:40,http://t.co/3Awz9sRkTO
2014-07-7,CWS @ BOS,T5,Farrell,Eaton,Safe at 1st,Tag play,Joyce,Joyce,Overturned,1:34,http://t.co/36101RnNun
